Customer ID,City,Category,Purchase Date,Quantity,Unit Price,Total Amount,Month
4174,Makkah,Clothing,2023-01-01,9,413.17,3718.53,2023-01
4507,Riyadh,Groceries,2023-01-02,1,282.62,282.62,2023-01
1860,Jeddah,Groceries,2023-01-03,1,39.58,39.58,2023-01
2294,Makkah,Groceries,2023-01-04,9,171.2,1540.8,2023-01
2130,Jeddah,Sports,2023-01-05,6,296.26,1777.56,2023-01
2095,Khobar,Sports,2023-01-06,4,476.29,1905.16,2023-01
4772,Khobar,Sports,2023-01-07,7,432.38,3026.66,2023-01
4092,Khobar,Electronics,2023-01-08,5,129.61,648.05,2023-01
2638,Riyadh,Clothing,2023-01-09,7,125.65,879.55,2023-01
3169,Khobar,Home,2023-01-10,8,116.56,932.48,2023-01
1466,Makkah,Electronics,2023-01-11,8,462.8,3702.4,2023-01
2238,Jeddah,Clothing,2023-01-12,1,429.28,429.28,2023-01
1330,Dammam,Clothing,2023-01-13,8,391.94,3135.52,2023-01
2482,Makkah,Groceries,2023-01-14,6,208.51,1251.06,2023-01
3135,Makkah,Groceries,2023-01-15,4,262.1,1048.4,2023-01
4444,Khobar,Electronics,2023-01-16,8,242.88,1943.04,2023-01
4171,Riyadh,Groceries,2023-01-17,3,141.63,424.89,2023-01
3919,Jeddah,Clothing,2023-01-18,4,262.41,1049.64,2023-01
4735,Riyadh,Groceries,2023-01-19,6,34.64,207.84,2023-01
1130,Jeddah,Sports,2023-01-20,7,83.27,582.89,2023-01
2685,Jeddah,Groceries,2023-01-21,4,445.56,1782.24,2023-01
4380,Riyadh,Clothing,2023-01-22,4,380.81,1523.24,2023-01
1769,Makkah,Electronics,2023-01-23,7,222.98,1560.86,2023-01
3391,Jeddah,Home,2023-01-24,6,268.23,1609.38,2023-01
2515,Riyadh,Groceries,2023-01-25,8,197.6,1580.8,2023-01
4485,Jeddah,Clothing,2023-01-26,1,375.57,375.57,2023-01
3853,Dammam,Home,2023-01-27,7,396.41,2774.87,2023-01
3433,Makkah,Home,2023-01-28,7,386.38,2704.66,2023-01
2215,Khobar,Sports,2023-01-29,7,366.85,2567.95,2023-01
1955,Jeddah,Home,2023-01-30,7,118.16,827.12,2023-01
3324,Dammam,Clothing,2023-01-31,8,182.23,1457.84,2023-01
2184,Khobar,Clothing,2023-02-01,9,245.53,2209.77,2023-02
1459,Khobar,Groceries,2023-02-02,9,178.78,1609.02,2023-02
4385,Jeddah,Groceries,2023-02-03,2,382.37,764.74,2023-02
1021,Riyadh,Groceries,2023-02-04,7,178.09,1246.63,2023-02
3300,Jeddah,Home,2023-02-05,7,86.35,604.45,2023-02
1747,Dammam,Home,2023-02-06,4,211.54,846.16,2023-02
3904,Khobar,Sports,2023-02-07,9,490.36,4413.24,2023-02
4632,Jeddah,Groceries,2023-02-08,8,128.42,1027.36,2023-02
1474,Riyadh,Electronics,2023-02-09,1,313.84,313.84,2023-02
2082,Jeddah,Sports,2023-02-10,2,227.83,455.66,2023-02
3558,Makkah,Electronics,2023-02-11,2,54.09,108.18,2023-02
4753,Riyadh,Home,2023-02-12,8,254.18,2033.44,2023-02
3047,Dammam,Sports,2023-02-13,1,357.04,357.04,2023-02
4547,Khobar,Sports,2023-02-14,4,266.35,1065.4,2023-02
3747,Jeddah,Clothing,2023-02-15,5,438.61,2193.05,2023-02
1975,Riyadh,Home,2023-02-16,9,158.69,1428.21,2023-02
2806,Makkah,Home,2023-02-17,7,61.4,429.8,2023-02
1189,Riyadh,Sports,2023-02-18,8,469.55,3756.4,2023-02
4005,Makkah,Home,2023-02-19,9,201.53,1813.77,2023-02
3734,Dammam,Sports,2023-02-20,7,296.67,2076.69,2023-02
4005,Khobar,Clothing,2023-02-21,5,400.16,2000.8,2023-02
1562,Dammam,Sports,2023-02-22,5,175.67,878.35,2023-02
2899,Jeddah,Home,2023-02-23,6,363.76,2182.56,2023-02
4638,Riyadh,Home,2023-02-24,5,85.0,425.0,2023-02
2267,Makkah,Sports,2023-02-25,9,159.82,1438.38,2023-02
3879,Makkah,Sports,2023-02-26,3,89.46,268.38,2023-02
2528,Riyadh,Sports,2023-02-27,3,409.39,1228.17,2023-02
4202,Riyadh,Groceries,2023-02-28,7,126.87,888.09,2023-02
4556,Jeddah,Home,2023-03-01,7,364.35,2550.45,2023-03
4890,Dammam,Home,2023-03-02,6,472.78,2836.68,2023-03
1646,Makkah,Groceries,2023-03-03,3,273.33,819.99,2023-03
3068,Jeddah,Sports,2023-03-04,7,279.21,1954.47,2023-03
3888,Dammam,Clothing,2023-03-05,5,241.3,1206.5,2023-03
3214,Jeddah,Sports,2023-03-06,7,176.43,1235.01,2023-03
2297,Makkah,Sports,2023-03-07,2,248.31,496.62,2023-03
3435,Riyadh,Groceries,2023-03-08,6,309.35,1856.1,2023-03
1600,Riyadh,Home,2023-03-09,8,493.28,3946.24,2023-03
3363,Dammam,Sports,2023-03-10,1,470.13,470.13,2023-03
3061,Khobar,Home,2023-03-11,4,433.83,1735.32,2023-03
1241,Dammam,Electronics,2023-03-12,1,446.78,446.78,2023-03
3041,Khobar,Home,2023-03-13,1,244.57,244.57,2023-03
3824,Jeddah,Clothing,2023-03-14,8,335.57,2684.56,2023-03
4417,Jeddah,Clothing,2023-03-15,7,449.63,3147.41,2023-03
3612,Makkah,Sports,2023-03-16,1,208.62,208.62,2023-03
3945,Khobar,Home,2023-03-17,2,481.65,963.3,2023-03
2363,Makkah,Sports,2023-03-18,4,219.58,878.32,2023-03
3139,Riyadh,Groceries,2023-03-19,1,308.52,308.52,2023-03
2390,Khobar,Clothing,2023-03-20,3,360.71,1082.13,2023-03
4003,Dammam,Sports,2023-03-21,8,476.28,3810.24,2023-03
2478,Riyadh,Groceries,2023-03-22,8,137.42,1099.36,2023-03
4499,Riyadh,Sports,2023-03-23,8,378.14,3025.12,2023-03
3556,Dammam,Home,2023-03-24,6,269.99,1619.94,2023-03
1775,Riyadh,Home,2023-03-25,6,148.91,893.46,2023-03
1034,Khobar,Home,2023-03-26,5,392.77,1963.85,2023-03
3253,Makkah,Home,2023-03-27,9,285.07,2565.63,2023-03
4152,Riyadh,Electronics,2023-03-28,4,337.27,1349.08,2023-03
2955,Khobar,Groceries,2023-03-29,7,174.99,1224.93,2023-03
2585,Jeddah,Groceries,2023-03-30,1,251.01,251.01,2023-03
4943,Khobar,Home,2023-03-31,9,316.33,2846.97,2023-03
4459,Makkah,Electronics,2023-04-01,7,214.36,1500.52,2023-04
4073,Khobar,Home,2023-04-02,9,115.22,1036.98,2023-04
2021,Dammam,Electronics,2023-04-03,7,481.59,3371.13,2023-04
4461,Makkah,Home,2023-04-04,2,265.5,531.0,2023-04
3613,Jeddah,Clothing,2023-04-05,6,372.28,2233.68,2023-04
2129,Dammam,Clothing,2023-04-06,4,217.3,869.2,2023-04
4843,Khobar,Sports,2023-04-07,3,190.46,571.38,2023-04
4893,Makkah,Home,2023-04-08,2,215.44,430.88,2023-04
2500,Jeddah,Groceries,2023-04-09,6,216.41,1298.46,2023-04
1702,Dammam,Sports,2023-04-10,8,281.21,2249.68,2023-04
3449,Jeddah,Clothing,2023-04-11,6,280.87,1685.22,2023-04
3777,Khobar,Home,2023-04-12,9,258.63,2327.67,2023-04
2579,Jeddah,Sports,2023-04-13,5,84.7,423.5,2023-04
1161,Riyadh,Home,2023-04-14,2,258.12,516.24,2023-04
1201,Dammam,Clothing,2023-04-15,8,101.17,809.36,2023-04
2981,Jeddah,Sports,2023-04-16,9,80.55,724.95,2023-04
1995,Khobar,Clothing,2023-04-17,4,467.67,1870.68,2023-04
3317,Khobar,Electronics,2023-04-18,6,310.38,1862.28,2023-04
4934,Jeddah,Clothing,2023-04-19,8,336.56,2692.48,2023-04
1815,Khobar,Home,2023-04-20,9,212.86,1915.74,2023-04
4342,Makkah,Groceries,2023-04-21,5,456.31,2281.55,2023-04
1455,Makkah,Clothing,2023-04-22,6,326.21,1957.26,2023-04
4533,Makkah,Groceries,2023-04-23,4,389.2,1556.8,2023-04
4798,Riyadh,Electronics,2023-04-24,5,196.91,984.55,2023-04
2275,Jeddah,Sports,2023-04-25,7,480.81,3365.67,2023-04
2016,Riyadh,Sports,2023-04-26,9,413.82,3724.38,2023-04
4773,Khobar,Groceries,2023-04-27,6,429.9,2579.4,2023-04
3343,Riyadh,Sports,2023-04-28,6,102.65,615.9,2023-04
4796,Khobar,Clothing,2023-04-29,8,150.06,1200.48,2023-04
3767,Khobar,Groceries,2023-04-30,4,157.1,628.4,2023-04
4820,Dammam,Home,2023-05-01,3,150.04,450.12,2023-05
1337,Makkah,Clothing,2023-05-02,7,430.6,3014.2,2023-05
1878,Khobar,Clothing,2023-05-03,5,35.3,176.5,2023-05
2076,Dammam,Clothing,2023-05-04,2,56.53,113.06,2023-05
